tipoDocumento,concesionaria,autopista,fechaHora,categoriaVehiculo,importe,ivaIncluido,formaPago,referencia,idEmpresa,empresaNombre,idUsuario,provincia,tramo,entrada,salida
Peaje,Estatal,AP-61,2025-04-13 05:44:15,A,"1,40 €",IVA incluido,Tarjeta de empresa,PASO-9F3D22BA,EMP04,Transporte_04 S.L.,EMP04-U28,Madrid,Conexión AP-6 (El Espinar) – Ortigosa,Conexión AP-6 (El Espinar),Ortigosa
Peaje,Estatal,AP-7,2025-07-18 17:03:03,A,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-1B1E124E,EMP04,Transporte_04 S.L.,EMP04-U28,TARRAGONA,724 Entronque A-7 – 754 Carretera San Miguel Benijofar,724 Entronque A-7,754 Carretera San Miguel Benijofar
Peaje,Estatal,AP-66,2025-01-12 15:23:40,A,"6,10 €",IVA incluido,Tarjeta de empresa,PASO-D597C708,EMP04,Transporte_04 S.L.,EMP04-U28,Principado de Asturias,La Magdalena – León,La Magdalena,León
Peaje,Estatal,AP-61,2025-06-30 06:18:20,A,"1,55 €",IVA incluido,Tarjeta de empresa,PASO-CB4F68E3,EMP04,Transporte_04 S.L.,EMP04-U28,Madrid,Ortigosa del Monte – Hontoria,Ortigosa del Monte,Hontoria
Peaje,Estatal,AP-61,2025-06-02 03:01:50,A,"2,15 €",IVA incluido,Tarjeta de empresa,PASO-A4BCDFFF,EMP04,Transporte_04 S.L.,EMP04-U28,MADRID,Otero de Herreros – Hontoria,Otero de Herreros,Hontoria
Peaje,Estatal,AP-68,2025-01-07 19:46:35,A,"18,20 €",IVA incluido,Tarjeta de empresa,PASO-0A8413EE,EMP04,Transporte_04 S.L.,EMP04-U28,Aragón,Subijana – Autop. Navarra,Subijana,Autop. Navarra
Peaje,Estatal,AP-61,2025-02-20 00:30:40,A,"2,85 €",IVA incluido,Tarjeta de empresa,PASO-CF27F654,EMP04,Transporte_04 S.L.,EMP04-U28,"Madrid, Comunidad de",Conexión AP-6 (El Espinar) – Hontoria,Conexión AP-6 (El Espinar),Hontoria
Peaje,Estatal,AP-66,2025-06-12 05:29:21,A,"6,10 €",IVA incluido,Tarjeta de empresa,PASO-BE2F1BEF,EMP04,Transporte_04 S.L.,EMP04-U28,Asturias,La Magdalena – León,La Magdalena,León
Peaje,Estatal,AP-7,2025-05-24 01:47:22,A,"5,50 €",IVA incluido,Efectivo,PASO-BD783EE4,EMP04,Transporte_04 S.L.,EMP04-U28,Alicante/Alacant,763 La Zenia Urbanizaciones – 784 San Javier (Sur)-Acceso aeropuerto,763 La Zenia Urbanizaciones,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-68,2025-02-24 23:55:00,A,"8,20 €",IVA incluido,Tarjeta de empresa,PASO-E5FF42C8,EMP04,Transporte_04 S.L.,EMP04-U28,LA RIOJA,Tudela – Zaragoza,Tudela,Zaragoza
Peaje,Estatal,AP-6,2025-05-18 17:46:18,A,"4,50 €",IVA incluido,Efectivo,PASO-7788D3FD,EMP04,Transporte_04 S.L.,EMP04-U28,"Madrid, Comunidad de",Villacastín – Adanero,Villacastín,Adanero
Peaje,Estatal,AP-7,2025-02-14 08:27:13,A,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-C48079AF,EMP04,Transporte_04 S.L.,EMP04-U28,Málaga,763 La Zenia Urbanizaciones – 774 San Pedro del Pinatar (Norte),763 La Zenia Urbanizaciones,774 San Pedro del Pinatar (Norte)
