tipoDocumento,concesionaria,autopista,fechaHora,categoriaVehiculo,importe,ivaIncluido,formaPago,referencia,idEmpresa,empresaNombre,idUsuario,provincia,tramo,entrada,salida
Peaje,Estatal,AP-7,2025-06-04 02:55:23,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-7361BC57,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,763 La Zenia Urbanizaciones – 786 Los Alcazares (Norte),763 La Zenia Urbanizaciones,786 Los Alcazares (Norte)
Peaje,Estatal,AP-7,2025-07-26 16:40:18,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-54792A7D,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,768 Campoamor-Urbanizaciones – 786 Los Alcazares (Norte),768 Campoamor-Urbanizaciones,786 Los Alcazares (Norte)
Peaje,Estatal,AP-53,2025-06-05 23:43:49,LIGEROS,"7,00 €",IVA incluido,Efectivo,PASO-A5591ACE,EMP001,Transporte_01 S.L.,EMP001-U1,PONTEVEDRA,Santiago – Lalín Oeste,Santiago,Lalín Oeste
Peaje,Estatal,AP-71,2025-01-25 03:40:33,LIGEROS,"1,60 €",IVA incluido,Tarjeta de empresa,PASO-CC1F0968,EMP001,Transporte_01 S.L.,EMP001-U1,LEÓN,Hospital de Órbigo – Astorga,Hospital de Órbigo,Astorga
Peaje,Estatal,AP-7,2025-07-06 20:17:49,LIGEROS,"2,75 €",IVA incluido,Efectivo,PASO-6680FC7B,EMP001,Transporte_01 S.L.,EMP001-U1,CÁDIZ,758 San Miguel de Salinas-Torrevieja – 768 Campoamor-Urbanizaciones,758 San Miguel de Salinas-Torrevieja,768 Campoamor-Urbanizaciones
Peaje,Estatal,AP-7,2025-05-24 12:56:23,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-C9A61841,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,754 Carretera San Miguel Benijofar – 794 Los Alcazares (Sur),754 Carretera San Miguel Benijofar,794 Los Alcazares (Sur)
Peaje,Estatal,AP-7,2025-05-12 13:56:57,LIGEROS,"2,75 €",IVA incluido,Efectivo,PASO-A738DD8F,EMP001,Transporte_01 S.L.,EMP001-U1,CÁDIZ,754 Carretera San Miguel Benijofar – 784 San Javier (Sur)-Acceso aeropuerto,754 Carretera San Miguel Benijofar,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-7,2025-07-11 04:30:40,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-9B9FDA14,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,775 Los Tárragas – 797 Torre del Negro,775 Los Tárragas,797 Torre del Negro
Peaje,Estatal,AP-7,2025-07-23 13:02:38,LIGEROS,"2,15 €",IVA incluido,Tarjeta de empresa,PASO-54EB96A5,EMP001,Transporte_01 S.L.,EMP001-U1,MÁLAGA,Acceso de San Pedro de Alcantara – ,Acceso de San Pedro de Alcantara,
Peaje,Estatal,AP-7,2025-06-25 06:50:49,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-2BC77B33,EMP001,Transporte_01 S.L.,EMP001-U1,TARRAGONA,763 La Zenia Urbanizaciones – 784 San Javier (Sur)-Acceso aeropuerto,763 La Zenia Urbanizaciones,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-7,2025-02-14 12:10:41,LIGEROS,"2,40 €",IVA incluido,Tarjeta de empresa,PASO-E3241DA8,EMP001,Transporte_01 S.L.,EMP001-U1,GIRONA,Troncal de Manilva – ,Troncal de Manilva,
Peaje,Estatal,AP-7,2025-05-01 13:04:50,LIGEROS,"2,15 €",IVA incluido,Tarjeta de empresa,PASO-816CD862,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,Acceso de San Pedro de Alcantara – ,Acceso de San Pedro de Alcantara,
Peaje,Estatal,AP-7,2025-06-28 13:50:19,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-E3E5707E,EMP001,Transporte_01 S.L.,EMP001-U1,VALENCIA / VALÈNCIA,784 San Javier (Sur)-Acceso aeropuerto – 790 Los Alcazares (Centro)-Torre Pacheco,784 San Javier (Sur)-Acceso aeropuerto,790 Los Alcazares (Centro)-Torre Pacheco
Peaje,Estatal,AP-7,2025-01-15 18:08:55,LIGEROS,"5,50 €",IVA incluido,Tarjeta de empresa,PASO-C268A172,EMP001,Transporte_01 S.L.,EMP001-U1,CASTELLÓN / CASTELLÓ,754 Carretera San Miguel Benijofar – 780 San Javier (Norte)-Sucina,754 Carretera San Miguel Benijofar,780 San Javier (Norte)-Sucina
Peaje,Estatal,AP-7,2025-03-24 07:48:34,LIGEROS,"2,75 €",IVA incluido,Efectivo,PASO-68A41C63,EMP001,Transporte_01 S.L.,EMP001-U1,ALICANTE,763 La Zenia Urbanizaciones – 774 San Pedro del Pinatar (Norte),763 La Zenia Urbanizaciones,774 San Pedro del Pinatar (Norte)
Peaje,Estatal,AP-7,2025-06-05 22:53:03,LIGEROS,"2,75 €",IVA incluido,Tarjeta de empresa,PASO-7777619E,EMP001,Transporte_01 S.L.,EMP001-U1,BARCELONA,754 Carretera San Miguel Benijofar – 784 San Javier (Sur)-Acceso aeropuerto,754 Carretera San Miguel Benijofar,784 San Javier (Sur)-Acceso aeropuerto
Peaje,Estatal,AP-6,2025-06-11 07:00:28,LIGEROS,"15,15 €",IVA incluido,Tarjeta de empresa,PASO-D853CB1D,EMP001,Transporte_01 S.L.,EMP001-U1,MADRID,Villalba – Adanero,Villalba,Adanero
