idTicket,idEmpresa,empresaNombre,idUsuario,fechaEmision,horaEmision,metodoPago,estacion,lineas,baseImponible,iva,total,moneda,tipoDocumento
T-0C1311ADF29F,EMP001,Transporte_01 S.L.,EMP001-U001,2025-04-13,04:23:15,Tarjeta de empresa,"{'id': '1492', 'nombre': 'COOP. LA SIBERIA EXTREMEÑA', 'provincia': 'BADAJOZ', 'municipio': 'TALARRUBIAS', 'direccion': 'AVENIDA EXTREMADURA, 118', 'lat': 39.042917, 'lon': -5.234583, 'grupo': 'COOP. LA SIBERIA EXTREMEÑA', 'nifEmpresa': 'R2181960B'}","[{'producto': 'Gasolina 95 E5', 'litros': 17.44, 'precioUnitario': 1.5, 'importe': 26.16}]",21.62,4.54,26.16,EUR,Factura simplificada
T-55903B782FD8,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-14,00:57:19,Tarjeta de empresa,"{'id': '6170', 'nombre': 'E.S SANT ISIDRE', 'provincia': 'LLEIDA', 'municipio': 'BORGES BLANQUES (LES)', 'direccion': 'AVINGUDA JAUME SEGARRA, S/N', 'lat': 41.523167, 'lon': 0.861694, 'grupo': 'E.S SANT ISIDRE', 'nifEmpresa': 'E08386377'}","[{'producto': 'Gasolina 95 E5', 'litros': 25.64, 'precioUnitario': 1.489, 'importe': 38.18}]",31.55,6.63,38.18,EUR,Factura simplificada
T-3B130BF0D608,EMP001,Transporte_01 S.L.,EMP001-U001,2025-01-03,13:38:09,Tarjeta de empresa,"{'id': '3956', 'nombre': 'REPSOL', 'provincia': 'CÓRDOBA', 'municipio': 'CASTRO DEL RÍO', 'direccion': 'CALLE RONDA PUENTE NUEVO, SN', 'lat': 37.691333, 'lon': -4.486028, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo A', 'litros': 50.44, 'precioUnitario': 1.434, 'importe': 72.33}]",59.78,12.55,72.33,EUR,Factura simplificada
T-C3C4181BF9CE,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-04,00:23:23,Tarjeta de empresa,"{'id': '550', 'nombre': 'GLOBAL OIL', 'provincia': 'ALICANTE', 'municipio': 'SAN MIGUEL DE SALINAS', 'direccion': 'CALLE CV-95, 17,4', 'lat': 37.990083, 'lon': -0.799444, 'grupo': 'GLOBAL OIL', 'nifEmpresa': 'Z35116151'}","[{'producto': 'Gasolina 98 E5', 'litros': 23.02, 'precioUnitario': 1.707, 'importe': 39.3}]",32.48,6.82,39.3,EUR,Factura simplificada
T-AC20A854020A,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-26,17:43:18,Tarjeta de empresa,"{'id': '451', 'nombre': 'BP', 'provincia': 'ALICANTE', 'municipio': 'JÁVEA/XÀBIA', 'direccion': 'CARRETERA JAVEA BENITACHELL KM. 7,093', 'lat': 38.74075, 'lon': 0.150944, 'grupo': 'BP', 'nifEmpresa': 'A28011559'}","[{'producto': 'Gasóleo A', 'litros': 52.21, 'precioUnitario': 1.442, 'importe': 75.29}]",62.22,13.07,75.29,EUR,Factura simplificada
T-7FDC2B5B57D9,EMP001,Transporte_01 S.L.,EMP001-U001,2025-04-21,12:50:49,Efectivo,"{'id': '644', 'nombre': 'REPSOL', 'provincia': 'ALMERÍA', 'municipio': 'ALHAMA DE ALMERÍA', 'direccion': 'CARRETERA A-348 KM. 138,830', 'lat': 36.949944, 'lon': -2.555722, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo Premium', 'litros': 33.33, 'precioUnitario': 1.502, 'importe': 50.06}]",41.37,8.69,50.06,EUR,Factura simplificada
T-3F3F238DCF84,EMP001,Transporte_01 S.L.,EMP001-U001,2025-06-05,22:32:49,Tarjeta de empresa,"{'id': '8951', 'nombre': 'AIRA SILLEDA', 'provincia': 'PONTEVEDRA', 'municipio': 'SILLEDA', 'direccion': 'CARRETERA DE SIADOR KM. 1', 'lat': 42.688083, 'lon': -8.253111, 'grupo': 'AIRA SILLEDA', 'nifEmpresa': 'E59310342'}","[{'producto': 'Gasóleo Premium', 'litros': 37.9, 'precioUnitario': 1.563, 'importe': 59.24}]",48.96,10.28,59.24,EUR,Factura simplificada
T-9E072F5ED082,EMP001,Transporte_01 S.L.,EMP001-U001,2025-01-25,02:29:33,Efectivo,"{'id': '6090', 'nombre': 'MOEVE', 'provincia': 'LEÓN', 'municipio': 'VILLAGATÓN', 'direccion': 'AUTOVIA A-6 (MRG.DCHO.) KM. 350', 'lat': 42.60175, 'lon': -6.232, 'grupo': 'MOEVE', 'nifEmpresa': 'A28003119'}","[{'producto': 'Gasolina 95 E5', 'litros': 30.06, 'precioUnitario': 1.519, 'importe': 45.66}]",37.74,7.92,45.66,EUR,Factura simplificada
T-C3233CE791E5,EMP001,Transporte_01 S.L.,EMP001-U001,2025-07-06,18:20:49,Tarjeta de empresa,"{'id': '3250', 'nombre': 'REPSOL', 'provincia': 'CÁDIZ', 'municipio': 'SAN ROQUE', 'direccion': 'AUTOVIA A-7 KM. 116,000', 'lat': 36.207222, 'lon': -5.410139, 'grupo': 'REPSOL', 'nifEmpresa': 'A78374725'}","[{'producto': 'Gasóleo Premium', 'litros': 45.52, 'precioUnitario': 1.527, 'importe': 69.51}]",57.45,12.06,69.51,EUR,Factura simplificada
T-AD0D2D830DC7,EMP001,Transporte_01 S.L.,EMP001-U001,2025-01-11,16:19:34,Tarjeta de empresa,"{'id': '4566', 'nombre': 'E.S.QUINTANAR', 'provincia': 'CUENCA', 'municipio': 'QUINTANAR DEL REY', 'direccion': 'CARRETERA N320 KM. 43,5', 'lat': 39.333472, 'lon': -1.928833, 'grupo': 'E.S.QUINTANAR', 'nifEmpresa': 'N1928327D'}","[{'producto': 'Gasóleo A', 'litros': 37.52, 'precioUnitario': 1.446, 'importe': 54.25}]",44.83,9.42,54.25,EUR,Factura simplificada
